miRNA,Target Gene
mmu-let-7a-1-3p,Cpd
mmu-let-7a-1-3p,Mphosph9
mmu-let-7a-1-3p,Ppp1r9a
mmu-let-7a-1-3p,Fat2
mmu-let-7a-1-3p,Myh1
mmu-let-7a-1-3p,Myh1
mmu-let-7a-1-3p,Ttc14
mmu-let-7a-1-3p,Myh1
mmu-let-7a-1-3p,Heatr1
mmu-let-7a-1-3p,2610002M06Rik
mmu-let-7a-1-3p,Maf
mmu-let-7a-1-3p,Ppp1r9a
mmu-let-7a-1-3p,Fat2
mmu-let-7a-1-3p,Gucy1b3
mmu-let-7a-1-3p,Gnaz
mmu-let-7a-1-3p,Wnt9a
mmu-let-7a-1-3p,Polr3b
mmu-let-7a-1-3p,Hspa4
mmu-let-7a-1-3p,2410002F23Rik
mmu-let-7a-1-3p,Itgbl1
mmu-let-7a-1-3p,Gnaz
mmu-let-7a-1-3p,Elavl2
mmu-let-7a-1-3p,Itgbl1
mmu-let-7a-1-3p,Grem2
mmu-let-7a-1-3p,Tnks1bp1
mmu-let-7a-1-3p,Fbxl19
mmu-let-7a-1-3p,Anapc7
mmu-let-7a-1-3p,2410002F23Rik
mmu-let-7a-1-3p,Itgbl1
mmu-let-7a-1-3p,Fbxl19
mmu-let-7a-2-3p,Map1a
mmu-let-7a-2-3p,Zc3h4
mmu-let-7a-2-3p,Mms19
mmu-let-7a-2-3p,Lamc3
mmu-let-7a-2-3p,Dab2ip
mmu-let-7a-2-3p,Dab2ip
mmu-let-7a-2-3p,Map1a
mmu-let-7a-2-3p,Dab2ip
mmu-let-7a-2-3p,Ttc14
mmu-let-7a-2-3p,Rgp1
mmu-let-7a-2-3p,Slc24a2
mmu-let-7a-2-3p,Slc24a2
mmu-let-7a-2-3p,Bri3bp
mmu-let-7a-2-3p,Rnf169
mmu-let-7a-2-3p,Mylk
mmu-let-7a-2-3p,Megf8
mmu-let-7a-2-3p,Chd2
mmu-let-7a-2-3p,Chd2
mmu-let-7a-2-3p,Zc3h4
mmu-let-7a-2-3p,Unc13a
mmu-let-7a-2-3p,Maf
mmu-let-7a-2-3p,Myo5c
mmu-let-7a-2-3p,Ahctf1
mmu-let-7a-2-3p,Fyco1
mmu-let-7a-2-3p,Pask
mmu-let-7a-2-3p,Trak2
mmu-let-7a-2-3p,Lrrc58
mmu-let-7a-2-3p,Fyco1
mmu-let-7a-2-3p,Arid2
mmu-let-7a-2-3p,Ltbp2
mmu-let-7a-5p,Pak3
mmu-let-7a-5p,Ttn
mmu-let-7a-5p,Maf
mmu-let-7a-5p,Atp2b2
mmu-let-7a-5p,Adcy7
mmu-let-7a-5p,Scube3
mmu-let-7a-5p,Ttn
mmu-let-7a-5p,Dysf
mmu-let-7a-5p,Dysf
mmu-let-7a-5p,Ahdc1
mmu-let-7a-5p,Wnk2
mmu-let-7a-5p,Disp2
mmu-let-7a-5p,Synm
mmu-let-7a-5p,Pak3
mmu-let-7a-5p,Ophn1
mmu-let-7a-5p,Adcy7
mmu-let-7a-5p,Pak3
